lakeid,year4,sample_date,station,towdepth,species_code,species_name,density,individuals_measured,avg_length
"ME","1999.000000000000000000000000000000","1999-03-29 00:00:00","1","20.000000000000000000000000000000","20000.000000000000000000000000000000","CYCLOPOID","126060.000000000000000000000000000000","15.000000000000000000000000000000","0.750000000000000000000000000000"
"ME","1999.000000000000000000000000000000","1999-03-29 00:00:00","1","20.000000000000000000000000000000","30400.000000000000000000000000000000","DIAPTOMID","245460.000000000000000000000000000000","15.000000000000000000000000000000","1.040000000000000000000000000000"
"ME","2000.000000000000000000000000000000","2000-10-24 00:00:00","1","20.000000000000000000000000000000","10000.000000000000000000000000000000","COPEPOD NAUPLII","8580.000000000000000000000000000000","6.000000000000000000000000000000","0.180000000000000000000000000000"
"ME","2000.000000000000000000000000000000","2000-11-28 00:00:00","1","20.000000000000000000000000000000","40000.000000000000000000000000000000","HARPACTICOID","660.000000000000000000000000000000","2.000000000000000000000000000000","0.800000000000000000000000000000"
"ME","2000.000000000000000000000000000000","2000-11-28 00:00:00","1","20.000000000000000000000000000000","53601.000000000000000000000000000000","SINOBOSMINA FRYEI","340.000000000000000000000000000000","1.000000000000000000000000000000","0.440000000000000000000000000000"
"ME","1999.000000000000000000000000000000","1999-01-25 00:00:00","1","18.000000000000000000000000000000","51107.000000000000000000000000000000","DAPHNIA RETROCURVA","180.000000000000000000000000000000","1.000000000000000000000000000000","1.240000000000000000000000000000"
"ME","1999.000000000000000000000000000000","1999-01-25 00:00:00","1","18.000000000000000000000000000000","20302.000000000000000000000000000000","DIACYCLOPS THOMASI","15084.000000000000000000000000000000","15.000000000000000000000000000000","1.030000000000000000000000000000"
"ME","2000.000000000000000000000000000000","2000-09-25 00:00:00","1","20.000000000000000000000000000000","10000.000000000000000000000000000000","COPEPOD NAUPLII","54520.000000000000000000000000000000","15.000000000000000000000000000000","0.220000000000000000000000000000"
"ME","2000.000000000000000000000000000000","2000-09-25 00:00:00","1","20.000000000000000000000000000000","53601.000000000000000000000000000000","SINOBOSMINA FRYEI","340.000000000000000000000000000000","1.000000000000000000000000000000","0.320000000000000000000000000000"
"ME","2000.000000000000000000000000000000","2000-09-25 00:00:00","1","20.000000000000000000000000000000","30901.000000000000000000000000000000","AGLAODIAPTOMUS CLAVIPES","10560.000000000000000000000000000000","15.000000000000000000000000000000","1.900000000000000000000000000000"
"ME","2000.000000000000000000000000000000","2000-08-28 00:00:00","1","20.000000000000000000000000000000","51130.000000000000000000000000000000","DAPHNIA PULICARIA","3400.000000000000000000000000000000","12.000000000000000000000000000000","1.600000000000000000000000000000"
"ME","2000.000000000000000000000000000000","2000-08-28 00:00:00","1","20.000000000000000000000000000000","30400.000000000000000000000000000000","DIAPTOMID","220060.000000000000000000000000000000","15.000000000000000000000000000000","0.880000000000000000000000000000"
"ME","2000.000000000000000000000000000000","2000-08-28 00:00:00","1","20.000000000000000000000000000000","20100.000000000000000000000000000000","ACANTHOCYCLOPS","2540.000000000000000000000000000000","3.000000000000000000000000000000","1.120000000000000000000000000000"
"ME","2000.000000000000000000000000000000","2000-03-29 00:00:00","1","20.000000000000000000000000000000","51103.000000000000000000000000000000","DAPHNIA MENDOTAE","6720.000000000000000000000000000000","19.000000000000000000000000000000","1.490000000000000000000000000000"
"ME","2000.000000000000000000000000000000","2000-08-16 00:00:00","1","20.000000000000000000000000000000","20100.000000000000000000000000000000","ACANTHOCYCLOPS","1500.000000000000000000000000000000","2.000000000000000000000000000000","1.000000000000000000000000000000"
"ME","2000.000000000000000000000000000000","2000-08-16 00:00:00","1","20.000000000000000000000000000000","51000.000000000000000000000000000000","CHYDORUS","8660.000000000000000000000000000000","15.000000000000000000000000000000","0.280000000000000000000000000000"
